Year,Province,FDI,urbanarea,"No of above-size
industrial companies",public expenditure,"public 
employment thousands",GDP,Population,RatioofUrbanPopulation,GDPperCapita,Areasquarekm
2000,Anhui,,885.95,3680,323.47,41.1,3038.235876,6093,,4986.436691,140126
2001,Anhui,,915.41,3698,403.8,40.8,3290.13,6128,,5369.011097,140126
2002,Anhui,,975.73,3918,456.86,41.4,3553.56,6144,,5783.789063,140126
2003,Anhui,25.42,1044.17,4158,507.44,40.8547,3972.38,6163,,6445.529774,140126
2004,Anhui,31.82,1123.37,4456,601.53,40.4678,4759.32,6228,,7641.811175,140126
2005,Anhui,128.49,1260.35,5277,713.06,41.3834,5375.12,6120,35.5,8782.875817,140126
2006,Anhui,58.79,1135.85,6523,940.23,41.2776,6131.1,6110,37.1,10034.53355,140126
2007,Anhui,90.06,1201.64,8111,1243.83,41.5816,7364.18,6118,38.7,12036.90749,140126
2008,Beijing,79.97,1310.94,7205,1959.29,34.02,10488.03,1695,84.9,61876.28319,16411
2009,Beijing,39.33,1349.83,6890,2319.37,39.99,66940,1755,85,66940,16411
2010,Beijing,43.8,,6884,2717.32,41.1,73856,1961.9,85.96,73856,16411
2011,Beijing,29.45,1231.3,3746,3245.23,43.09,81658,2018.6,86.2,81658,16411
2012,Beijing,22.18,1261.11,3692,3685.31,44.73,87475,2069.3,86.2,87475,16411
2013,Beijing,23.49,1306.45,3701,4173.66,45.48,93213,2114.8,86.3,93213,16411
2000,Beijing,,490.11,4572,443,22.374,2478.76,1364,,18172.72727,16411
2001,Beijing,,747.77,4356,559.11,24.2554,2845.65,1385,,20546.20939,16411
2002,Beijing,,1043.5,4551,628.35,25.1317,3212.71,1423,,22577.02038,16411
2003,Beijing,56.12,1180.1,4019,734.8,25.6156,3663.1,1456,,25158.65385,16411
2004,Beijing,118.59,1182.3,4324,898.28,26.7143,6060.28,1493,,40591.2927,16411
2005,Beijing,70.88,1200,6300,1058.31,27.1994,6886.31,1538,83.62,44774.44733,16411
2006,Beijing,76.18,1254.23,6400,1296.84,28.4096,7861.04,1581,84.33,49721.94813,16411
2007,Beijing,82.8,1289.32,6397,1649.5,29.8496,9353.32,1633,84.5,57276.91366,16411
2008,Tianjin,165.64,640.85,7950,867.72,13.75,6354.38,1176,77.23,54033.84354,11917
2009,Tianjin,140.95,662.25,8326,1124.28,13.57,62574,1228.16,78.01,62574,11917
2010,Tianjin,125,686.71,7947,1376.84,13.7,72994,1299.29,79.55,72994,11917
2011,Tianjin,94.83,710.6,5013,1796.33,14.08,85213,1355,80.5,85213,11917
2012,Tianjin,84.18,722.14,5342,2143.21,15.5,93173,1413.15,81.55,93173,11917
2013,Tianjin,84.2,747.26,5383,2549.21,15.54,99607,1472.21,82.01,99607,11917
2000,Chongqing,,324.26,2040,187.64,18.02,1589.34,2848.82,,5578.941456,82269
2001,Chongqing,,328.91,2054,237.55,19.84,1749.77,2829.21,,6184.659322,82269
2002,Chongqing,,437.9,2060,305.86,19.45,1971.3,2814.43,,7004.260188,82269
2003,Chongqing,14.95,523.71,2241,341.58,19.87,2250.56,2803.19,,8028.567454,82269
2004,Chongqing,47.46,514.28,2600,395.72,19.05,2692.81,2793.32,,9640.17728,82269
2005,Chongqing,42.92,582.51,2943,487.35,19.65,3070.49,2798,45.2,10973.8742,82269
2006,Chongqing,28.15,631.35,3208,594.25,20.9,3452.14,2808,46.7,12293.94587,82269
2007,Chongqing,94.75,667.45,3916,768.39,21.49,4122.51,2816,48.3,14639.59517,82269
2008,Hebei,103.95,1528.33,12447,1881.67,74.51,16188.61,6989,41.9,23162.98469,188434
2009,Hebei,85.06,1577.52,13096,2347.59,75.58,24581,7034.4,43.74,24581,188434
2010,Hebei,87.8,1619.67,13927,2820.24,77.2,28668,7193.6,44.5,28668,188434
2011,Hebei,111.58,1684.6,11570,3537.39,81,33969,7240.51,45.6,33969,188434
2012,Hebei,98.68,1738.89,12360,4079.44,83.79,36584,7287.51,46.8,36584,188434
2013,Hebei,88.82,1787.24,12649,4409.58,85.39,38716,7332.61,48.12,38716,188434
2000,Fujian,,449.06,6011,324.18,27.33,3920.07,3410,,11495.80645,124016
2001,Fujian,,477.88,6583,373.19,28.04,4253.68,3445.375,,12346.05812,124016
2002,Fujian,,502.58,7462,397.56,28.06,4682.01,3476.033333,,13469.40478,124016
2003,Fujian,122.94,598.43,9208,452.3,28.03,5232.17,3501.975,,14940.62636,124016
2004,Fujian,134.06,628.33,10428,516.68,28.22,5763.35,3529.095833,,16330.95351,124016
2005,Fujian,132.59,672.64,12396,593.07,27.95,6568.93,3557.395833,49.4,18465.55826,124016
2006,Fujian,143.84,780.06,13755,728.7,27.9,7584.36,3584.516667,50.4,21158.66853,124016
2007,Fujian,215.67,819.35,15178,910.64,28.02,9249.13,3611.6375,51.4,25609.24235,124016
2008,Shanxi,35.69,784.1,4415,1315.02,47.87,6938.73,3411,45.11,20342.21636,156711
2009,Shanxi,20.94,822.93,4023,1561.7,54.93,21522,3427.36,45.99,21522,156711
2010,Shanxi,32.7,864.73,4240,1931.36,55.9,26283,3574.1145,48.05,26283,156711
2011,Shanxi,19.47,956.92,3675,2363.85,58.44,31357,3593,49.68,31357,156711
2012,Shanxi,22.91,1013.84,3905,2759.46,59.63,33628,3610.83,51.26,33628,156711
2013,Shanxi,26.42,1040.69,3946,3030.13,60.1,34813,3629.8,52.56,34813,156711
2000,Gansu,,402.92,2851,188.23,22.97,983.36,2515.31,,3909.498233,454000
2001,Gansu,,418.28,3153,235.46,23.23,1072.51,2523.35,,4250.341808,454000
2002,Gansu,,475.08,3204,274.01,23.8,1161.43,2530.76,,4589.253821,454000
2003,Gansu,5.72,478.33,2884,300.01,24.53,1304.6,2537.19,,5141.908962,454000
2004,Gansu,11.84,495.48,2918,356.94,26.23,1688.49,2541.48,,6643.727277,454000
2005,Gansu,14.13,507.44,1733,429.35,27.24,1933.98,2545.1,30.02,7598.836981,454000
2006,Gansu,15.29,523.82,1733,528.59,28.28,2276.7,2546.79,31.09,8939.488533,454000
2007,Gansu,11.41,553.09,1841,675.34,33.87,2702.4,2548.19,32.25,10605.17465,454000
2008,Inner Mongolia,46.67,885.42,3993,1454.57,32.91,7761.8,2444.326502,51.71,31754.3503,1155092
2009,Inner Mongolia,14.74,975.48,4465,1926.84,33.98,39735,2458.223523,53.4,39735,1155092
2010,Inner Mongolia,7.5,1038.32,4611,2273.5,35.3,47347,2472.1786,55.5,47347,1155092
2011,Inner Mongolia,12.8,1077.04,4175,2989.21,36.63,57974,2481.71,56.62,57974,1155092
2012,Inner Mongolia,22.22,1132.78,4244,3425.99,39.04,63886,2489.85,57.74,63886,1155092
2013,Inner Mongolia,8.79,1206.21,4377,3686.52,40.26,67498,2497.61,58.71,67498,1155092
2000,Guangdong,,1763.98,19695,1080.32,69.05,9662.23,8650.03,,11170.16935,179757
2001,Guangdong,,2023.64,20721,1321.33,67.52,10647.71064,8733.18,,12192.24915,179757
2002,Guangdong,,2196.62,22619,1521.08,69,11735.64463,8842.08,,13272.49315,179757
2003,Guangdong,606.53,2546.89,24494,1695.63,76.32,13625.86613,8962.69,,15202.87562,179757
2004,Guangdong,809.52,3306.11,25956,1852.95,78.56,18864.62,9110.66,,20706.09594,179757
2005,Guangdong,842.99,3619.05,35157,2289.07,82.35,22366.54,9194,60.68,24327.32217,179757
2006,Guangdong,865.53,3705.71,37494,2553.34,85.3,26159.52,9442,63,27705.48613,179757
2007,Guangdong,983.64,4083.97,42260,3159.57,85.23,31084.4,9660,63.14,32178.46791,179757
2008,Liaoning,380.33,10775.25,21876,2153.43,49.28,13461.57,4315,60.05,31197.14948,148064
2009,Liaoning,427.92,10924.87,23364,2682.39,49.87,35149,4341,60.35,35149,148064
2010,Liaoning,440.8,11655.67,23832,3195.82,49.5,42355,4374.9,62.1,42355,148064
2011,Liaoning,380.62,12821.71,16914,3905.85,50.58,50760,4383,64.05,50760,148064
2012,Liaoning,358.69,13966.53,17347,4558.59,52.77,56649,4389,65.65,56649,148064
2013,Liaoning,372.94,13973.93,17561,5197.42,53.52,61685.9,4390,66.45,61685.9,148064
2000,Guangxi,,585.93,3155,258.49,34,2050.14,4751,,4315.175752,237558
2001,Guangxi,,615.58,3126,351.65,33.8,2231.19,4788,,4659.962406,237558
2002,Guangxi,,640.81,2911,419.86,29.87,2455.36,4822,,5091.995023,237558
2003,Guangxi,26.03,685.35,2871,443.6,32.19,2735.13,4857,,5631.315627,237558
2004,Guangxi,36.01,709.67,3209,507.47,33.38,3433.5,4889,,7022.90857,237558
2005,Guangxi,66.42,772.23,3687,611.48,34.74,4075.75,4660,33.62,8746.244635,237558
2006,Guangxi,49.33,738.32,4051,729.52,36.61,4828.51,4719,34.64,10232.06188,237558
2007,Guangxi,82.38,813.89,4408,985.94,36.3204,5955.65,4768,36.24,12490.87668,237558
2008,Jilin,76.28,1135.36,5257,1180.12,30.97,6424.06,2734,53.21,23496.92758,184400
2009,Jilin,48.93,1193.33,5936,1479.21,30.58,26595,2739.55,53.32,26595,184400
2010,Jilin,53.9,1237.38,6181,1787.25,31.4,31599,2746.6021,53.35,31599,184400
2011,Jilin,66.83,1270.99,5158,2201.74,32.53,38460,2749.41,53.4,38460,184400
2012,Jilin,55.39,1293.82,5286,2471.2,33.9,43415,2750.4,53.7,43415,184400
2013,Jilin,27.9,1344.02,5353,2744.81,35.08,47191,2751.28,54.2,47191,184400
2000,Guizhou,,291.65,2087,201.57,27.429,993.53,3756,,2645.181044,176153
2001,Guizhou,,304.08,2054,275.2,28.0138,1084.9,3798.51,,2856.1199,176153
2002,Guizhou,,320.45,2067,316.67,28.5457,1185.04,3837,,3088.454522,176153
2003,Guizhou,8.5,348.05,2129,332.35,29.0316,1356.11,3870,,3504.160207,176153
2004,Guizhou,9.06,332.25,2329,418.42,30.6406,1677.8,3904,,4297.643443,176153
2005,Guizhou,8.53,371.86,2585,520.73,32.4989,1979.06,3730,26.87,5305.790885,176153
2006,Guizhou,14.44,404.65,2594,610.64,33.134,2270.89,3690,27.46,6154.173442,176153
2007,Guizhou,15.56,395.8,2296,795.4,34.5064,2741.9,3632,28.24,7549.284141,176153
2008,Heilongjiang,36.09,1524.21,4392,1542.3,40.85,8310,3825,55.4,21725.4902,452645
2009,Heilongjiang,50.16,1566.11,4408,1877.74,40.92,22447,3826,55.5,22447,452645
2010,Heilongjiang,35.9,1637.98,4596,2253.27,41.6,27076,3833.4024,55.66,27076,452645
2011,Heilongjiang,22.92,1678.64,3377,2794.08,42.84,32819,3834,56.5,32819,452645
2012,Heilongjiang,28.54,1725.45,3911,3171.52,44.09,35711,3834.04,56.9,35711,452645
2013,Heilongjiang,10.44,1758.38,4098,3369.18,43.25,37509.27,3835.02,57.4,37509.27,452645
2000,Hainan,,143.57,589,64.12,7.6936,518.48,789,,6571.356147,35354
2001,Hainan,,146.67,601,78.94,7.8093,545.96,795.55,,6862.673622,35354
2002,Hainan,,176.66,619,92.26,8.6923,597.5,803,,7440.846824,35354
2003,Hainan,42.82,164.25,532,105.4,8.0481,670.93,811,,8272.872996,35354
2004,Hainan,21.02,194.18,616,127.2,8.1317,798.9,818,,9766.503667,35354
2005,Hainan,25.11,196.52,595,151.24,8.2042,894.57,828,45.2,10803.98551,35354
2006,Hainan,67.6,203.9,488,174.54,8.8514,1031.85,836,46.1,12342.70335,35354
2007,Hainan,26.28,204.8,548,245.2,8.6261,1223.28,845,47.2,14476.68639,35354
2008,Shanghai,257.28,,18792,2593.92,17.67,13698.15,2140.65,88.6,63990.61033,6340
2009,Shanghai,169.49,,17906,2989.65,18.25,69164,2210.28,88.6,69164,6340
2010,Shanghai,236.2,998.75,16684,3302.89,18.7,76074,2302.6608,89.3,76074,6340
2011,Shanghai,147.67,998.75,9962,3914.88,19.4,82560,2347.46,89.3,82560,6340
2012,Shanghai,164.48,998.75,9772,4184.02,20.49,85373,2380.43,89.3,85373,6340
2013,Shanghai,172.52,998.75,9782,4528.61,20.49,90092,2415.15,89.6,90092,6340
2000,Hebei,,962.87,7261,415.54,60.92,5088.96,6674,,7625.052442,188434
2001,Hebei,,1022.13,7696,514.18,64.19,5577.78,6699.13,,8326.12593,188434
2002,Hebei,,1073.13,7618,576.59,64.21,6122.53,6735,,9090.616184,188434
2003,Hebei,34.53,1171.04,7923,646.74,65.86,7098.56,6769,,10486.8666,188434
